MaxMakespan,MinMakespan,MinWorkload,MaxWorkload,MaxWCET,MinWCET,MedianWCET,NumNodes,MaxParallel,CriticalPath,AvgInDegree,AvgOutDegree,CoreNum,IsAnomaly,Par,Cri,WCRT,Advantage
142946,71472,163197,326400,100383,9066,9067.500000,18,9,4,1,1,8,0,8,4,164690,15.220000
368099,184047,282896,565800,203579,10880,10880.000000,26,5,8,2,2,8,0,4,8,368099,0.000000
232933,116466,193497,387000,99580,10750,10751.000000,18,8,4,2,2,8,0,8,4,232933,0.000000
133617,66808,182997,366000,81066,10166,10222.000000,18,8,4,2,2,8,0,8,4,162665,21.740000
129820,64907,104391,208800,63266,4015,4015.000000,26,6,8,2,2,8,0,4,8,129820,0.000000
116281,58140,104398,208800,91503,3070,3070.000000,34,6,9,2,2,8,0,4,10,116281,0.000000
219304,109650,170593,341200,107000,6561,6566.500000,26,6,8,2,2,8,0,4,8,219304,0.000000
211856,105926,163196,326400,59354,6276,6276.000000,26,6,8,2,2,8,0,4,8,211856,0.000000
234956,117477,193497,387000,186587,7442,7442.000000,26,8,6,2,2,8,0,4,8,247123,5.180000
219365,109682,182999,366000,142757,7038,7038.000000,26,7,7,2,2,8,0,4,8,219365,0.000000
240805,120400,205993,412000,104033,7923,7924.000000,26,5,7,2,2,8,0,4,8,240805,0.000000
379361,189677,291788,583600,299279,11223,11223.000000,26,5,8,2,2,8,0,4,8,379361,0.000000
232952,116475,199798,399600,139749,7684,7684.000000,26,6,7,2,2,8,0,4,8,232952,0.000000
235337,117667,254090,508200,123126,9773,9773.000000,26,8,6,2,2,8,0,4,8,263336,11.900000
147068,73533,147897,295800,58912,5688,5688.000000,26,5,6,2,2,8,0,4,8,147068,0.000000
89538,44767,116091,232200,63408,4465,4465.500000,26,6,8,2,2,8,0,4,8,89538,0.000000
246886,123442,194897,389800,89262,7496,7505.500000,26,6,8,2,2,8,0,4,8,246886,0.000000
295700,147849,289597,579200,216889,11138,11138.000000,26,7,8,2,2,8,0,4,8,295700,0.000000
359912,179954,286391,572800,278071,11015,11015.500000,26,5,7,2,2,8,0,4,8,359912,0.000000
68826,34411,104392,208800,41649,4745,4860.000000,22,10,4,2,2,4,1,10,4,94280,36.990000
336036,168017,285998,572000,177049,11000,11000.000000,26,7,6,2,2,8,0,4,8,336036,0.000000
330631,165313,254091,508200,260072,9773,9773.000000,26,6,8,2,2,8,0,4,8,330631,0.000000
120046,60022,111197,222400,46537,4276,4276.000000,26,5,8,2,2,8,0,4,8,120046,0.000000
260848,130422,282895,565800,119610,10880,10888.500000,26,8,6,2,2,7,0,6,6,296557,13.690000
116407,58201,104391,208800,56824,4015,4015.500000,26,6,6,2,2,7,0,6,6,122388,5.140000
193932,96964,170590,341200,77849,6561,6571.000000,26,6,6,2,2,7,0,6,6,193932,0.000000
171235,85617,163199,326400,122078,6276,6276.000000,26,7,6,2,2,7,0,6,6,183539,7.190000
182688,91342,170582,341200,95144,3877,3877.000000,44,7,9,2,2,8,0,6,9,182688,0.000000
206168,103082,193495,387000,99431,7442,7445.000000,26,7,6,2,2,7,0,6,6,206168,0.000000
213567,106783,182997,366000,174766,7038,7038.000000,26,7,6,2,2,7,0,6,6,213567,0.000000
192746,96371,205989,412000,126596,7923,7923.000000,26,7,6,2,2,7,0,6,6,213878,10.970000
179282,89639,163183,326400,84058,3709,3709.000000,44,7,8,2,2,8,0,6,9,179282,0.000000
231217,115605,193480,387000,154777,4397,4397.000000,44,9,9,2,2,8,0,6,9,242446,4.860000
313060,156529,282896,565800,135534,20210,27608.000000,14,4,5,1,1,4,0,4,5,313060,0.000000
91471,45735,104397,208800,29874,8702,15808.000000,12,5,4,1,1,7,0,5,4,91471,0.000000
210898,105449,170600,341200,122004,14216,14224.000000,12,5,4,1,1,7,0,5,4,210898,0.000000
