MaxMakespan,MinMakespan,MinWorkload,MaxWorkload,MaxWCET,MinWCET,MedianWCET,NumNodes,MaxParallel,CriticalPath,AvgInDegree,AvgOutDegree,CoreNum,IsAnomaly,Par,Cri,WCRT,Advantage
153588,76793,205593,411200,64341,62,10545.000000,27,7,7,2,2,8,0,5,7,153588,0.000000
90591,45294,121594,243200,37823,357,7896.000000,27,7,7,2,2,8,0,5,7,90591,0.000000
179049,89523,271593,543200,61401,126,19858.000000,27,9,7,2,2,8,0,5,7,179049,0.000000
126338,63168,194889,389800,25288,116,5073.000000,58,8,10,3,3,9,0,7,10,126338,0.000000
133492,66744,130994,262000,51633,269,5539.000000,27,6,7,2,2,8,0,5,7,133492,0.000000
105624,52810,218178,436400,31674,99,2876.000000,92,10,11,4,4,6,999,10,11,149735,41.770000
141015,70505,182992,366000,58327,251,11327.000000,27,7,6,2,2,3,999,5,7,182609,29.500000
81614,40806,104390,208800,32004,93,3348.000000,38,9,8,2,2,5,999,6,8,90751,11.200000
86140,43069,187988,376000,47841,22,5682.000000,42,11,6,3,3,9,999,10,6,111748,29.730000
113393,56694,187985,376000,27958,16,3707.000000,62,11,8,4,4,5,999,10,8,156252,37.800000
93688,46841,187985,376000,29017,22,4810.000000,57,11,7,4,4,5,999,11,7,140294,49.750000
135898,67947,187987,376000,33185,270,3969.500000,50,9,8,3,3,7,999,8,8,152689,12.360000
75165,37581,150288,300600,28821,39,5247.000000,42,10,7,3,3,9,0,8,7,96376,28.220000
80489,40243,104391,208800,18408,178,3544.000000,42,7,10,2,2,6,999,5,10,90540,12.490000
106414,53204,187983,376000,28101,145,3426.000000,65,10,11,3,3,5,999,7,11,148159,39.230000
109529,54762,133292,266600,25963,166,4310.000000,37,10,7,3,3,8,0,7,7,109529,0.000000
94196,47096,218175,436400,29444,20,3239.000000,90,12,10,4,4,6,999,11,10,149144,58.340000
164048,82023,179697,359400,63526,2323,15827.000000,17,5,5,1,1,9,0,5,5,164048,0.000000
355372,177685,268297,536600,112466,368,18526.000000,17,6,5,2,2,9,0,5,5,355372,0.000000
205002,102499,163701,327412,87197,216,11093.000000,17,5,5,2,2,9,0,5,5,205002,0.000000
90888,45443,101196,202400,50343,948,5453.000000,17,5,5,2,2,9,0,5,5,90888,0.000000
135611,67805,158895,317800,49485,2777,14249.000000,17,5,5,2,2,9,0,5,5,135611,0.000000
75272,37635,115897,231800,34000,2311,9823.000000,17,6,5,2,2,9,0,5,5,75272,0.000000
152076,76037,204496,409000,71329,2794,18417.000000,17,6,4,2,2,9,0,5,5,152076,0.000000
105570,52784,105596,211200,41461,278,11443.000000,17,5,5,2,2,9,0,5,5,105570,0.000000
182841,91419,234095,468200,93612,3271,18782.000000,17,5,5,2,2,9,0,5,5,182841,0.000000
205172,102581,282885,565800,32221,191,7030.000000,58,10,9,3,3,3,999,8,9,269793,31.500000
117527,58762,218185,436400,41533,58,4805.000000,57,11,7,4,4,9,999,11,7,141631,20.510000
113982,56990,194893,389800,42049,2577,9755.000000,26,9,5,2,2,8,0,8,5,144273,26.580000
193923,96960,282889,565800,50691,384,7858.500000,50,11,8,3,3,5,999,8,8,241937,24.760000
171544,85770,170593,341200,43156,99,5050.000000,37,6,9,2,2,4,999,5,9,193355,12.720000
120072,60034,282890,565800,60353,235,12058.000000,35,11,5,3,3,8,999,11,5,190203,58.410000
248465,124231,227095,454200,97215,597,18931.000000,17,5,5,1,1,9,0,5,5,248465,0.000000
130542,65268,193890,387800,32603,605,6191.500000,42,6,10,2,2,9,0,5,10,130542,0.000000
197055,98525,235592,471200,79722,101,9700.500000,38,7,7,2,2,9,0,6,8,197055,0.000000
166383,83190,245895,491800,66737,2031,21754.500000,20,9,5,2,2,9,0,6,5,166383,0.000000
206390,103194,199795,399600,62185,442,15293.000000,22,5,6,2,2,4,999,5,6,218857,6.050000
67443,33718,104387,208800,21819,79,3322.500000,44,7,8,2,2,5,999,6,9,91570,35.780000
77960,38978,104391,208800,21593,58,3986.000000,38,7,8,2,2,6,999,6,8,89316,14.570000
261019,130508,286395,572800,131110,1102,27191.000000,17,5,5,1,1,5,0,5,5,261019,0.000000
165045,82522,199796,399600,69577,176,10695.000000,22,7,6,2,2,3,1,5,6,209677,27.050000
213906,106950,282888,565800,51324,837,7478.500000,52,10,7,3,3,3,999,10,7,274653,28.400000
183219,91609,282893,565800,43053,336,8969.000000,38,10,6,3,3,6,999,9,6,236651,29.170000
127415,63705,170590,341200,35471,74,4475.000000,42,10,7,3,3,3,999,8,7,174420,36.900000
92541,46268,218175,436400,23319,9,3527.500000,82,11,10,4,4,7,999,10,10,146267,58.060000
267659,133829,240396,480800,114014,1163,15340.000000,20,7,5,2,2,7,0,6,5,267659,0.000000
108925,54460,147891,295800,42867,569,7945.000000,32,5,8,2,2,6,0,5,8,122604,12.560000
71777,35888,112195,224400,41261,314,6295.500000,20,6,5,2,2,7,0,6,5,71777,0.000000
231571,115784,284794,569600,85971,1645,17579.500000,20,6,5,2,2,7,0,6,5,231571,0.000000
135824,67909,180291,360600,44874,136,5083.000000,47,8,11,2,2,9,0,5,11,135824,0.000000
75238,37618,104392,208800,22612,10,5302.000000,34,8,6,2,2,7,999,8,6,83331,10.760000
107007,53501,123289,246600,19273,51,5819.000000,37,7,9,2,2,9,0,5,9,107007,0.000000
