MaxMakespan,MinMakespan,MinWorkload,MaxWorkload,MaxWCET,MinWCET,MedianWCET,NumNodes,MaxParallel,CriticalPath,AvgInDegree,AvgOutDegree,CoreNum,IsAnomaly,Par,Cri,WCRT,Advantage
345223,172610,500995,1002000,140288,2296,33020.000000,23,8,5,2,2,9,0,7,5,345223,0.000000
239597,119796,352244,704500,115169,4941,27411.000000,23,7,5,2,2,9,0,7,5,239597,0.000000
219322,109659,368744,737500,102550,66,21555.000000,23,9,5,2,2,9,0,7,5,219322,0.000000
291794,145896,483741,967500,68414,53,26320.000000,34,9,6,3,3,9,0,8,6,336596,15.360000
562250,281123,705995,1412000,329723,586,47413.000000,23,7,5,2,2,9,0,7,5,562250,0.000000
393971,196983,483738,967500,91400,2394,17939.000000,37,8,8,2,2,9,0,5,9,393971,0.000000
283899,141948,469994,940000,182804,2551,18348.000000,29,10,5,2,2,9,0,9,5,335041,18.020000
412141,206068,457491,915000,94780,96,19863.000000,37,7,9,2,2,9,0,5,9,412141,0.000000
347599,173798,707243,1414500,142760,429,38244.000000,29,9,5,3,3,9,0,9,5,396768,14.150000
565569,282782,514989,1030000,150074,423,12512.000000,37,6,8,2,2,9,0,5,9,565569,0.000000
154808,77402,260990,522000,63286,2159,14192.000000,29,9,5,3,3,9,0,9,5,154808,0.000000
295751,147874,426493,853000,124117,1335,16556.000000,29,9,5,3,3,9,0,9,5,324900,9.860000
701602,350799,729489,1459000,162937,428,24703.000000,37,6,7,2,2,9,0,5,9,701602,0.000000
429054,214525,499492,999000,79102,2682,22197.000000,37,7,9,2,2,9,0,5,9,429054,0.000000
376753,188374,635240,1270500,144729,2178,25597.000000,37,8,8,2,2,9,0,5,9,376753,0.000000
265547,132772,369743,739500,83220,1912,11816.000000,37,7,9,2,2,9,0,5,9,265547,0.000000
353456,176726,545485,1091000,105531,141,10007.000000,65,8,11,3,3,9,0,7,11,376581,6.550000
313395,156696,545481,1091000,47906,269,10561.500000,74,8,11,3,3,9,0,8,11,320486,2.270000
311469,155733,545485,1091000,72126,513,11113.000000,66,9,9,3,3,9,0,8,10,371209,19.190000
305858,152928,483745,967500,88083,290,28390.500000,26,8,5,2,2,9,0,8,5,309086,1.060000
311052,155524,457491,915000,115401,4979,26949.000000,26,9,5,2,2,9,0,8,5,319862,2.840000
417476,208737,514993,1030000,163386,574,24052.500000,26,8,5,2,2,9,0,8,5,417476,0.000000
174572,87284,260992,522000,57181,135,12324.000000,37,8,7,2,2,9,0,7,7,174572,0.000000
585313,292656,729493,1459000,159920,200,37834.500000,30,8,6,2,2,9,0,7,6,585313,0.000000
358905,179451,426489,853000,99745,621,15416.500000,38,7,8,2,2,9,0,6,8,358905,0.000000
336488,168242,426489,853000,89583,1217,16742.000000,37,7,7,2,2,9,0,7,7,336488,0.000000
298996,149496,499492,999000,185446,1615,21025.000000,30,8,6,2,2,9,0,7,6,298996,0.000000
286097,143047,407992,816000,141374,27,11754.000000,37,8,7,2,2,9,0,7,7,289967,1.360000
366793,183395,635243,1270500,141252,904,28258.500000,30,8,6,3,3,9,0,7,6,379752,3.540000
335336,167666,407990,816000,106444,41,15249.500000,38,6,8,3,3,9,0,6,8,335336,0.000000
242863,121430,483741,967500,75187,1497,21721.000000,37,8,6,3,3,9,0,7,7,242863,0.000000
253044,126521,369743,739500,116291,144,18207.000000,30,9,6,2,2,9,0,7,6,253044,0.000000
343294,171646,457494,915000,82805,156,18891.000000,37,7,7,2,2,9,0,7,7,382526,11.430000
325931,162964,514990,1030000,157596,820,13345.000000,37,8,7,3,3,9,0,7,7,325931,0.000000
271644,135821,290243,580500,72398,847,8427.000000,30,7,6,2,2,9,0,7,6,271644,0.000000
381882,190940,487243,974500,120052,1621,23180.000000,30,7,6,3,3,9,0,7,6,381882,0.000000
492402,246200,723993,1448000,199348,2160,39271.000000,30,8,6,2,2,9,0,7,6,492402,0.000000
506034,253015,715994,1432000,180071,1195,37040.500000,30,8,6,2,2,9,0,7,6,506034,0.000000
390492,195244,714992,1430000,191491,3647,35991.500000,30,8,6,2,2,9,0,7,6,390492,0.000000
392024,196012,483741,967500,116688,60,19928.500000,38,9,8,2,2,9,0,6,8,392024,0.000000
299008,149502,457489,915000,121629,853,15026.500000,38,7,8,2,2,9,0,6,8,299008,0.000000
200118,100057,290242,580500,40334,844,12449.000000,37,7,9,2,2,9,0,5,9,200118,0.000000
