MaxMakespan,MinMakespan,MinWorkload,MaxWorkload,MaxWCET,MinWCET,MedianWCET,NumNodes,MaxParallel,CriticalPath,AvgInDegree,AvgOutDegree,CoreNum,IsAnomaly
125955,62976,107090,214200,74562,4119,4119.000000,26,8,6,2,2,8,0
109694,54844,111987,224000,61247,4307,4307.000000,26,6,6,2,2,8,0
138600,69298,169391,338800,46331,6515,6521.500000,26,6,6,2,2,8,0
204611,102304,193098,386200,167229,7426,7426.000000,26,7,6,2,2,8,0
230802,115400,229291,458600,112972,8819,8819.500000,26,7,6,2,2,8,0
155418,77707,143493,287000,87401,5519,5529.000000,26,7,6,2,2,8,0
192499,96247,252791,505600,117159,9723,9726.000000,26,7,6,2,2,8,0
137223,68610,111598,223200,106419,4292,4292.000000,26,8,6,2,2,8,0
91512,45755,114398,228800,67521,4400,4400.000000,26,8,6,2,2,8,0
149603,74801,127097,254200,125132,4888,4888.000000,26,8,6,2,2,8,0
205601,102800,188496,377000,138312,7250,7251.500000,26,6,6,2,2,8,0
145868,72932,128296,256600,68020,4934,4937.500000,26,8,6,2,2,8,0
268328,134163,223296,446600,138606,8588,8593.500000,26,8,6,2,2,8,0
343925,171961,291290,582600,219268,11203,11204.500000,26,7,6,2,2,8,0
275005,137502,278096,556200,221477,10696,10699.000000,26,7,6,2,2,8,0
181988,90993,155291,310600,110243,5973,5976.500000,26,6,5,2,2,8,0
127624,63811,188196,376400,61759,7238,7246.500000,26,6,6,2,2,8,0
220820,110409,197197,394400,115736,7584,7584.000000,26,8,6,2,2,8,0
211014,105506,190796,381600,140904,7338,7339.000000,26,7,6,2,2,8,0
151366,75682,182995,366000,97279,7038,7038.000000,26,7,6,2,2,3,999
335090,167544,289597,579200,274692,11138,11138.000000,26,8,6,2,2,8,0
87016,43506,104591,209200,49842,4023,4024.500000,26,7,6,2,2,8,0
325193,162595,277995,556000,110429,10692,10696.500000,26,8,6,2,2,8,0
112475,56236,114891,229800,63780,4419,4420.000000,26,8,6,2,2,8,0
208298,104147,224191,448400,167827,8623,8628.000000,26,7,5,2,2,8,0
322116,161056,266396,532800,256087,10246,10246.000000,26,6,6,2,2,8,0
174983,87491,226099,452200,124436,8696,8696.000000,26,8,6,2,2,8,0
220617,110307,186392,372800,146501,7169,7172.500000,26,8,6,2,2,8,0
233779,116887,234091,468200,188762,9003,9003.500000,26,7,6,2,2,8,0
143496,71746,130091,260200,102335,5003,5003.500000,26,6,6,2,2,8,0
66242,33121,108998,218000,45280,4192,4192.000000,26,7,6,2,2,8,0
177325,88661,245891,491800,124872,9457,9457.000000,26,7,6,2,2,8,0
129197,64596,114790,229600,81316,4415,4415.000000,26,7,6,2,2,8,0
