"MaxMakespan,MinMakespan,MinWorkload,MaxWorkload,MaxWCET,MinWCET,MedianWCET,NumNodes,MaxParallel,CriticalPath,AvgInDegree,AvgOutDegree,CoreNum,IsAnomaly"
"134623,67310,100997,202000,58802,10100,12654.500000,10,4,4,1,1,7,0"
"297454,148726,243197,486400,140522,24320,24452.000000,10,5,4,1,1,8,0"
"280761,140379,243196,486400,203739,24360,26718.000000,10,5,4,1,1,9,0"
"320361,160179,243198,486400,221077,24336,25106.000000,10,5,4,1,1,7,0"
"164233,82116,119897,239800,89562,11991,12067.500000,10,5,4,1,1,8,0"
"152987,76492,119896,239800,112637,12089,13831.000000,10,4,4,1,1,9,0"
"166293,83145,119897,239800,123768,11990,12763.000000,10,4,4,1,1,7,0"
"115335,57666,110796,221600,76633,11110,12400.000000,10,4,4,1,1,8,0"
"145023,72511,110799,221600,82770,11084,11696.000000,10,4,4,1,1,7,0"
"230664,115331,191297,382600,157989,19163,24453.000000,10,4,4,1,1,8,0"
"106903,53450,110797,221600,50869,11133,16027.500000,10,4,4,1,1,9,0"
"379287,189643,283098,566200,255970,28570,32832.000000,10,4,4,1,1,8,0"
"215814,107907,191299,382600,156178,19394,21840.500000,10,4,4,1,1,7,0"
"261430,130714,191298,382600,204003,19130,19141.500000,10,4,4,1,1,9,0"
"360093,180046,283099,566200,133318,28426,35433.000000,10,5,4,1,1,7,0"
"393180,196589,283098,566200,262052,28310,28932.500000,10,4,4,1,1,9,0"
"174141,87070,147297,294600,99195,14733,15309.500000,10,5,4,1,1,8,0"
"188297,94147,147297,294600,134522,14730,14942.000000,10,4,4,1,1,9,0"
"196998,98498,186998,374000,140261,18700,19110.000000,10,5,4,1,1,8,0"
"203748,101874,147298,294600,97884,14730,15038.500000,10,4,4,1,1,7,0"
"359388,179693,295997,592000,181119,29668,41617.000000,10,5,4,1,1,8,0"
"239247,119623,186997,374000,127998,18700,19605.500000,10,5,3,1,1,9,0"
"387992,193995,295998,592000,266239,29624,34416.500000,10,5,4,1,1,9,0"
"174287,87143,139998,280000,88906,14006,15119.500000,10,5,4,1,1,8,0"
"175284,87640,139998,280000,102681,14089,16877.500000,10,5,4,1,1,9,0"
"126060,63028,135698,271400,85121,13570,13718.500000,10,5,4,1,1,8,0"
"189518,94758,135698,271400,135502,13570,13599.000000,10,4,4,1,1,9,0"
"201637,100818,149399,298800,148530,14940,14957.500000,10,4,4,1,1,8,0"
"183598,91798,144597,289200,115753,14521,15247.000000,10,4,4,1,1,8,0"
"192759,96378,149398,298800,147517,14965,15746.000000,10,4,4,1,1,9,0"
"154244,77121,157499,315000,61627,15778,22401.000000,10,5,4,1,1,8,0"
"161376,80687,144597,289200,61571,14871,27192.000000,10,4,4,1,1,9,0"
"183517,91758,157498,315000,106708,15760,15864.500000,10,4,4,1,1,9,0"
"205601,102800,186997,374000,166114,18701,20265.500000,10,5,3,1,1,7,0"
"155366,77682,164596,329200,88343,17160,25430.000000,10,5,4,1,1,9,0"
"222262,111130,164598,329200,143745,16539,18436.000000,10,4,4,1,1,8,0"
"295944,147971,295997,592000,195822,29634,37487.500000,10,5,4,1,1,7,0"
"181329,90663,134897,269800,65258,13524,15669.500000,10,4,4,1,1,9,0"
"188622,94310,134898,269800,119188,13490,13546.000000,10,4,4,1,1,8,0"
"186940,93469,139998,280000,132247,14001,14103.500000,10,5,4,1,1,7,0"
"393119,196558,291097,582200,149339,29114,36098.500000,10,4,4,1,1,9,0"
"252227,126113,291098,582200,154736,29236,37746.500000,10,4,4,1,1,8,0"
"236703,118350,240396,480800,164462,24051,24099.500000,10,4,4,1,1,9,0"
"177427,88712,135697,271400,115324,13577,14427.000000,10,5,4,1,1,7,0"
"185503,92750,240397,480800,91808,24177,38224.000000,10,4,4,1,1,8,0"
"151116,75556,112196,224400,82715,11314,12605.000000,10,4,4,1,1,9,0"
"177714,88857,149399,298800,132894,14940,14945.000000,10,4,4,1,1,7,0"
"154118,77058,112199,224400,104906,11222,12586.000000,10,4,4,1,1,8,0"
"372721,186359,284797,569600,280729,28623,32337.000000,10,5,4,1,1,9,0"
"202322,101160,144597,289200,116015,14460,14518.000000,10,5,4,1,1,7,0"
"384097,192048,284798,569600,164178,28482,28847.000000,10,4,4,1,1,8,0"
"185504,92750,182095,364200,90699,18801,27604.000000,10,4,4,1,1,9,0"
"187602,93800,157498,315000,136032,15756,17357.000000,10,5,4,1,1,7,0"
"191719,95858,182096,364200,120033,18337,22360.000000,10,5,4,1,1,8,0"
"127788,63894,120898,241800,85986,12120,13222.000000,10,4,4,1,1,9,0"
"225930,112964,164598,329200,119941,16460,17605.500000,10,5,4,1,1,7,0"
"167985,83992,120899,241800,129113,12090,12096.000000,10,5,4,1,1,8,0"
"216066,108032,196197,392400,94556,19620,26817.500000,10,4,4,1,1,9,0"
"175606,87803,134899,269800,105814,13536,13804.500000,10,4,4,1,1,7,0"
"261454,130725,196196,392400,102355,19624,20645.500000,10,5,4,1,1,8,0"
"132593,66296,186599,373200,76222,18660,21874.500000,10,4,4,1,1,9,0"
"393512,196755,291098,582200,282267,29114,32026.000000,10,5,4,1,1,7,0"
"156151,78075,186598,373200,99546,18689,22896.000000,10,4,4,1,1,8,0"
"149649,74823,164797,329600,99414,16520,16757.000000,10,4,4,1,1,9,0"
"325904,162951,240397,480800,157249,24044,24631.000000,10,4,4,1,1,7,0"
"218752,109375,164797,329600,149947,16482,18558.000000,10,5,4,1,1,8,0"
"172340,86169,123099,246200,84122,12310,12310.000000,10,5,4,1,1,9,0"
"134345,67171,123097,246200,95441,12310,12509.500000,10,4,4,1,1,8,0"
"152369,76184,112199,224400,89505,11226,11964.000000,10,5,4,1,1,7,0"
"161652,80825,143998,288000,113886,14401,14820.500000,10,4,4,1,1,9,0"
"190741,95370,143997,288000,136853,14401,14767.500000,10,6,4,1,1,8,0"
"217949,108973,284797,569600,145589,28485,39396.500000,10,5,3,1,1,7,0"
"157560,78779,114498,229000,122343,11450,11880.500000,10,5,4,1,1,9,0"
"177074,88536,193896,387800,118486,19393,19514.000000,10,4,4,1,1,9,0"
"114222,57110,114496,229000,65284,11450,11796.000000,10,5,4,1,1,8,0"
"248449,124223,182097,364200,187509,18210,18760.000000,10,4,4,1,1,7,0"
"268390,134194,193897,387800,210040,19390,19476.500000,10,4,4,1,1,8,0"
"102233,51116,102798,205600,43302,10384,14553.500000,10,4,4,1,1,9,0"
"132545,66272,120898,241800,61027,12090,12427.500000,10,4,4,1,1,7,0"
"241119,120558,180297,360600,106791,18047,19951.000000,10,5,4,1,1,9,0"
"102600,51299,102797,205600,64335,10280,10285.000000,10,4,4,1,1,8,0"
"202855,101426,196197,392400,163549,19623,19753.500000,10,5,3,1,1,7,0"
"245316,122657,180297,360600,107335,18030,19893.000000,10,5,4,1,1,8,0"
"225157,112577,186598,373200,99797,18661,19189.000000,10,6,4,1,1,7,0"
"367380,183689,268397,536800,243383,26848,27287.500000,10,4,4,1,1,9,0"
"134718,67358,164796,329600,98416,16783,18667.000000,10,5,3,1,1,7,0"
"239021,119509,180497,361000,153757,18064,21147.000000,10,5,4,1,1,9,0"
"361015,180507,268398,536800,280314,26840,26884.000000,10,6,4,1,1,8,0"
"159464,79731,123098,246200,80364,12435,13890.500000,10,4,4,1,1,7,0"
"191142,95571,210600,421200,126378,21060,21081.000000,10,4,4,1,1,9,0"
"228164,114081,180499,361000,154897,18052,18166.000000,10,5,4,1,1,8,0"
"137492,68746,143999,288000,66706,14474,16457.000000,10,4,4,1,1,7,0"
"237858,118928,210597,421200,120118,21159,27644.500000,10,5,4,1,1,8,0"
"227837,113917,179298,358600,168171,17933,18053.500000,10,4,4,1,1,9,0"
"290342,145169,235597,471200,163081,23561,23751.500000,10,4,4,1,1,9,0"
"235771,117884,179296,358600,113399,17931,18019.000000,10,5,4,1,1,8,0"
"157008,78503,114497,229000,74243,11450,11568.000000,10,5,4,1,1,7,0"
"324297,162148,235598,471200,234666,23562,23829.000000,10,5,4,1,1,8,0"
"223872,111935,210899,421800,103511,21122,33015.000000,10,5,4,1,1,9,0"
"232447,116222,193897,387800,129285,19454,21038.500000,10,5,4,1,1,7,0"
"188908,94453,210898,421800,122541,21262,22552.500000,10,4,4,1,1,8,0"
"181337,90667,130097,260200,132246,13011,13058.000000,10,4,4,1,1,9,0"
"121588,60793,102798,205600,78222,10280,11219.500000,10,5,4,1,1,7,0"
"111097,55547,130097,260200,56583,13018,19723.000000,10,5,4,1,1,8,0"
"157821,78910,119898,239800,89076,11990,12247.000000,10,4,4,1,1,9,0"
"251367,125683,180298,360600,117894,18033,18458.000000,10,4,4,1,1,7,0"
"164361,82179,119897,239800,78037,11991,12876.500000,10,5,4,1,1,8,0"
"293792,146895,283997,568000,121201,28597,42495.500000,10,6,4,1,1,9,0"
"358018,179009,268398,536800,160202,26876,28677.000000,10,5,4,1,1,7,0"
"376691,188345,283998,568000,278778,28403,30436.500000,10,4,4,1,1,8,0"
"198991,99494,166597,333200,113175,16660,18404.000000,10,4,4,1,1,9,0"
"199769,99883,180497,361000,144676,18053,18463.000000,10,4,4,1,1,7,0"
"200212,100105,166597,333200,88056,16665,16956.000000,10,4,4,1,1,8,0"
"200216,100108,200399,400800,132880,20040,20466.000000,10,4,4,1,1,9,0"
"244713,122356,200398,400800,142669,20040,20261.500000,10,5,4,1,1,8,0"
"261081,130540,210598,421200,105362,21063,25520.500000,10,4,4,1,1,7,0"
"164914,82456,140898,281800,97801,14110,16775.500000,10,4,4,1,1,9,0"
"160951,80475,140898,281800,73706,14090,14092.000000,10,4,4,1,1,8,0"
"164294,82146,147498,295000,119922,14751,14902.500000,10,4,4,1,1,9,0"
"247693,123846,179298,358600,193038,17930,18008.500000,10,5,4,1,1,7,0"
"196513,98255,147497,295000,129163,14817,16244.000000,10,4,4,1,1,8,0"
"305069,152534,235598,471200,195950,23567,25483.000000,10,4,4,1,1,7,0"
"266767,133383,282397,564800,171482,28299,29873.000000,10,4,4,1,1,9,0"
"126151,63075,129299,258600,84010,13113,13997.000000,10,4,4,1,1,9,0"
"362119,181059,282398,564800,208508,28240,29650.000000,10,4,4,1,1,8,0"
"249199,124599,210899,421800,206906,21092,21355.000000,10,5,3,1,1,7,0"
"143381,71689,129297,258600,65475,12934,17879.500000,10,4,4,1,1,8,0"
"164493,82246,130098,260200,106376,13018,14165.000000,10,5,4,1,1,7,0"
"153507,76753,123298,246600,79101,12488,19386.500000,10,4,4,1,1,9,0"
"149202,74600,123298,246600,108596,12337,12720.000000,10,4,4,1,1,8,0"
"145418,72708,119897,239800,95089,11996,12335.500000,10,4,4,1,1,7,0"
"249637,124817,193697,387400,172019,19376,21231.000000,10,5,4,1,1,9,0"
"270147,135073,193699,387400,180476,19370,19535.000000,10,4,4,1,1,8,0"
"355179,177588,283998,568000,210399,28408,37155.000000,10,5,4,1,1,7,0"
"258132,129065,184397,368800,194838,18440,18451.000000,10,4,4,1,1,9,0"
"249736,124867,184399,368800,171747,18440,19384.000000,10,5,4,1,1,8,0"
"231767,115882,166597,333200,136467,16663,17299.000000,10,4,4,1,1,7,0"
"219570,109784,191998,384000,161290,19200,19225.500000,10,4,4,1,1,9,0"
"236356,118177,191998,384000,161552,19200,22179.500000,10,4,4,1,1,8,0"
"214279,107139,187998,376000,157517,18800,18819.500000,10,4,4,1,1,4,0"
"294924,147462,282899,565800,145270,28417,41500.500000,10,5,3,1,1,6,0"
"230147,115073,228698,457400,161448,22870,23515.500000,10,5,4,1,1,8,0"
"316604,158301,228697,457400,147451,22882,23754.500000,10,4,4,1,1,9,0"
"182299,91148,200397,400800,118041,20081,21374.500000,10,5,4,1,1,7,0"
"118911,59454,104397,208800,83976,10459,12883.000000,10,5,4,1,1,3,0"
"118431,59215,140898,281800,62236,14279,18154.500000,10,6,3,1,1,7,0"
"192660,96329,168897,337800,80064,16919,17607.000000,10,5,4,1,1,9,0"
"142925,71462,168898,337800,107815,16892,17668.500000,10,6,3,1,1,8,0"
"179799,89899,147498,295000,129154,14769,16763.000000,10,5,4,1,1,7,0"
"171691,85845,184898,369800,100148,18510,25047.000000,10,5,4,1,1,9,0"
"171176,85587,184898,369800,83811,18495,30602.500000,10,5,4,1,1,8,0"
"381392,190695,282398,564800,280216,28244,31173.500000,10,4,4,1,1,7,0"
"388159,194078,285097,570200,260579,28510,28708.000000,10,4,4,1,1,9,0"
"306150,153074,285097,570200,179816,30928,34959.500000,10,4,4,1,1,8,0"
"163535,81767,129299,258600,108090,12972,16106.500000,10,4,4,1,1,7,0"
"316607,158303,226897,453800,160072,22690,22761.000000,10,5,4,1,1,9,0"
"285185,142591,226898,453800,138949,22694,24751.000000,10,4,4,1,1,8,0"
"171288,85642,123295,246600,110257,12331,12955.000000,10,5,4,1,1,7,0"
"109879,54938,101897,203800,67076,10265,15588.000000,10,5,4,1,1,9,0"
"123232,61615,101896,203800,59599,10297,11360.000000,10,4,4,1,1,8,0"
"236308,118153,193698,387400,190771,19370,19464.500000,10,5,3,1,1,7,0"
