MaxMakespan,MinMakespan,MinWorkload,MaxWorkload,MaxWCET,MinWCET,MedianWCET,NumNodes,MaxParallel,CriticalPath,AvgInDegree,AvgOutDegree,CoreNum,IsAnomaly
207894,103945,151097,302200,70873,15110,15424.000000,10,5,4,1,1,3,0
143993,71996,161098,322200,88778,8950,10438.000000,18,9,4,1,1,3,0
172329,86164,160299,320600,121614,16030,16760.500000,10,5,4,1,1,3,0
317083,158540,266096,532200,122103,19007,19024.500000,14,6,4,1,1,3,0
361182,180590,252397,504800,251454,25385,28428.500000,10,5,4,1,1,3,0
208768,104382,192594,385200,99932,10701,11128.500000,18,8,4,2,2,3,0
200597,100297,173495,347000,159244,12392,12600.500000,14,6,4,1,1,3,0
222540,111269,215397,430800,136170,10770,10776.500000,20,9,4,2,2,3,0
242832,121414,235197,470400,117729,24028,28208.500000,10,6,3,1,1,3,0
126836,63417,119198,238400,46178,8514,8920.000000,14,7,4,1,1,3,0
81846,40921,101794,203600,36957,5655,6122.500000,18,9,4,2,2,3,0
253379,126689,217498,435000,151670,18166,18950.000000,12,6,4,1,1,3,0
167969,83983,137998,276000,126525,13800,13801.000000,10,4,4,1,1,3,0
172662,86330,167898,335800,73908,21283,30719.500000,10,5,4,1,1,3,0
128904,64451,138998,278000,73217,9930,10984.000000,14,7,4,1,1,3,0
219106,109552,191598,383200,80876,19182,21333.500000,10,5,4,1,1,3,0
242611,121303,219093,438200,174139,10955,10992.000000,20,8,4,2,2,3,0
314414,157206,276697,553400,190059,15372,15577.500000,18,8,4,2,2,3,0
339027,169513,243899,487800,163642,24395,25140.000000,10,4,4,1,1,3,0
346656,173327,291796,583600,204668,20842,21243.500000,14,6,4,1,1,3,0
349989,174994,267798,535600,160077,26790,27093.500000,10,5,4,1,1,3,0
144434,72216,111396,222800,91208,7957,7958.000000,14,7,4,1,1,3,0
260177,130087,193798,387600,110771,19392,21617.500000,10,4,4,1,1,3,0
161921,80960,156797,313600,103027,7840,7850.000000,20,10,4,2,2,3,0
112881,56440,120099,240200,62878,6672,6683.500000,18,9,4,2,2,3,0
243359,121678,236297,472600,167090,23630,24715.000000,10,5,4,1,1,3,0
310255,155127,258498,517000,240220,18464,19196.500000,14,6,4,1,1,3,0
150033,75015,134197,268400,53499,13429,23827.500000,10,4,4,1,1,3,0
167912,83955,124598,249200,114269,8900,8908.000000,14,6,4,1,1,3,0
263018,131508,191999,384000,204409,19200,19203.500000,10,5,4,1,1,3,0
206016,103007,220397,440800,161822,11020,11046.500000,20,9,4,2,2,3,0
209391,104694,223396,446800,121397,15957,16066.500000,14,6,4,1,1,3,0
144740,72369,106697,213400,112487,10670,10755.500000,10,5,4,1,1,3,0
316126,158061,266094,532200,128515,14783,14788.500000,18,8,4,2,2,3,0
126135,63067,117397,234800,60366,8385,9094.000000,14,7,4,1,1,3,0
102104,51051,102999,206000,44610,10306,12535.500000,10,5,4,1,1,3,0
281328,140663,242798,485600,208478,12140,12140.500000,20,9,4,2,2,3,0
202552,101273,159994,320000,90521,11513,14522.000000,14,6,4,1,1,3,0
205514,102756,153198,306400,122851,15320,16106.000000,10,4,4,1,1,3,0
158219,79108,173497,347000,74848,9638,9640.500000,18,8,4,2,2,3,0
143444,71721,117597,235200,113979,5880,5880.500000,20,9,4,2,2,3,0
114356,57176,129496,259000,56349,8093,8351.500000,16,7,4,1,1,3,0
98936,49463,111792,223600,32829,5081,5095.000000,22,11,4,2,2,3,0
408994,204496,295998,592000,318494,29608,29833.500000,10,5,3,1,1,3,0
298456,149227,236497,473000,146354,16899,16949.500000,14,7,4,1,1,3,0
109162,54579,119197,238400,45705,6622,6637.500000,18,8,4,1,1,3,0
173173,86585,164197,328400,86178,16431,16592.500000,10,5,4,1,1,3,0
390773,195385,293896,587800,239203,24491,24503.000000,12,6,4,1,1,3,0
171513,85756,143998,288000,142710,7200,7200.000000,20,9,4,2,2,3,0
158647,79323,154298,308600,94912,15606,22600.500000,10,5,4,1,1,3,0
261172,130586,245496,491000,208326,17536,17586.000000,14,6,4,1,1,3,0
200004,100002,138999,278000,145778,7722,7722.500000,18,8,4,2,2,3,0
187646,93821,174795,349600,128913,8740,8758.000000,20,9,4,2,2,3,0
171518,85758,140497,281000,66995,14058,17955.500000,10,4,4,1,1,3,0
189962,94980,212096,424200,121247,17683,17927.500000,12,5,4,2,2,3,0
334389,167193,253596,507200,168527,18114,18574.500000,14,7,4,1,1,3,0
358195,179096,291795,583600,155977,16211,16212.500000,18,8,4,2,2,3,0
116523,58261,103498,207000,54850,8628,8799.500000,12,5,4,1,1,3,0
360797,180397,273696,547400,273297,17106,17116.000000,16,8,3,2,2,3,0
147418,73708,177498,355000,61723,12678,12702.000000,14,7,4,1,1,3,0
229658,114828,193197,386400,143187,19396,20905.000000,10,4,4,1,1,3,0
119931,59964,111397,222800,76573,6188,6188.500000,18,8,4,1,1,3,0
211398,105697,176493,353000,126907,8825,8851.000000,20,9,4,2,2,3,0
322353,161175,253097,506200,243049,21095,22589.000000,12,5,4,1,1,3,0
277210,138603,202895,405800,213459,12681,12714.000000,16,7,4,2,2,3,0
172639,86318,139397,278800,112368,11616,11751.000000,12,5,4,1,1,3,0
335952,167973,254596,509200,198345,25897,27877.500000,10,4,4,1,1,3,0
118762,59379,128996,258000,49523,9214,12075.500000,14,7,4,1,1,3,0
159179,79588,122597,245200,125490,5572,5574.000000,22,10,4,2,2,3,0
157209,78603,112898,225800,103413,9408,9594.500000,12,6,4,1,1,3,0
220447,110222,258495,517000,127644,14361,14373.500000,18,8,4,2,2,3,0
138961,69479,110296,220600,110974,6893,6993.500000,16,7,4,2,2,3,0
226150,113074,263798,527600,129057,13190,13212.000000,20,9,4,2,2,3,0
153980,76989,144798,289600,86205,14503,15633.000000,10,4,4,1,1,3,0
282645,141322,209198,418400,116804,14942,16047.500000,14,6,4,1,1,3,0
112779,56389,124596,249200,53254,6924,8154.000000,18,8,4,2,2,3,0
209945,104972,164598,329200,111522,13717,13940.000000,12,5,4,1,1,3,0
310750,155374,255099,510200,205746,25634,26779.500000,10,4,4,1,1,3,0
323655,161827,285996,572000,176592,13000,13037.000000,22,10,4,2,2,3,0
141457,70727,110795,221600,106910,6925,6930.000000,16,7,4,2,2,3,0
166446,83223,168096,336200,112738,8405,8675.500000,20,9,4,2,2,3,0
130529,65263,105496,211000,92807,7535,7536.000000,14,7,4,1,1,3,0
229684,114841,249396,498800,114524,20783,21142.000000,12,6,4,1,1,3,0
247666,123832,178598,357200,121668,17861,18373.000000,10,4,4,1,1,3,0
214433,107214,223396,446800,86598,12411,13491.000000,18,8,4,2,2,3,0
225386,112690,197795,395600,142839,16483,16483.500000,12,6,4,1,1,3,0
266761,133379,219895,439800,200109,15707,16026.500000,14,7,4,2,2,3,0
195595,97796,151098,302200,110091,15110,15119.000000,10,5,4,1,1,3,0
148173,74085,117397,234800,121545,6522,6522.000000,18,8,4,2,2,3,0
161436,80717,121997,244000,92242,8720,9168.000000,14,6,4,1,1,3,0
201817,100906,229196,458400,92595,10418,10436.000000,22,10,4,2,2,3,0
79239,39619,100298,200600,46098,6268,6342.500000,16,8,3,2,2,3,0
221419,110707,227397,454800,92777,18951,19501.500000,12,5,4,1,1,3,0
106837,53414,129892,259800,68397,6495,6495.000000,20,9,4,2,2,3,0
178692,89344,121597,243200,119967,12160,12947.000000,10,5,4,1,1,3,0
169602,84799,151894,303800,89564,9493,9493.000000,16,7,4,2,2,3,0
153915,76957,169697,339400,122088,10606,10609.000000,16,7,4,2,2,3,0
132518,66257,154997,310000,67795,11072,11628.500000,14,6,4,1,1,3,0
210322,105159,148496,297000,121259,12375,12380.000000,12,7,4,1,1,3,0
254164,127082,223797,447600,221638,10172,10179.500000,22,10,4,2,2,3,0
129652,64824,100797,201600,43757,10149,14581.500000,10,5,4,1,1,3,0
319966,159982,256596,513200,189432,12830,12846.000000,20,10,4,2,2,3,0
144106,72052,114698,229400,41840,9560,11532.500000,12,6,4,1,1,3,0
317455,158726,254398,508800,189357,15900,15911.500000,16,7,4,2,2,3,0
104125,52061,100197,200400,71475,10021,11246.000000,10,5,4,1,1,3,0
190341,95169,143695,287400,134517,10265,10560.500000,14,6,4,2,2,3,0
203384,101692,159998,320000,95058,8888,8888.500000,18,8,4,2,2,3,0
273263,136631,223798,447600,119582,18669,21887.000000,12,5,4,1,1,3,0
314278,157137,266893,533800,195927,13345,13360.000000,20,9,4,2,2,3,0
165202,82600,152197,304400,132315,10873,11101.000000,14,7,4,1,1,3,0
295027,147513,287999,576000,136832,29030,46161.000000,10,4,4,1,1,3,0
246213,123104,222194,444400,158573,13887,13887.000000,16,7,4,2,2,3,0
210333,105165,153197,306400,129993,12766,14241.500000,12,5,4,1,1,3,0
115181,57589,124192,248400,85506,5645,5662.000000,22,10,4,2,2,3,0
120326,60162,123298,246600,65981,12345,21461.000000,10,4,4,1,1,3,0
242061,121029,236495,473000,150430,13139,15610.000000,18,8,4,2,2,3,0
156297,78148,152897,305800,79622,10926,11429.000000,14,6,4,1,1,3,0
288582,144290,212198,424400,200218,21221,22324.000000,10,4,4,1,1,3,0
88017,44007,103897,207800,40465,8755,12844.000000,12,5,4,1,1,3,0
100451,50224,110797,221600,68283,6925,6959.000000,16,7,3,1,1,3,0
221565,110782,214797,429600,159958,15342,15460.500000,14,7,3,1,1,3,0
132513,66256,114797,229600,70634,5740,5740.500000,20,9,4,2,2,3,0
232825,116412,241398,482800,142896,24186,25324.000000,10,5,4,1,1,3,0
158831,79414,151497,303000,125061,9468,9468.500000,16,7,4,1,1,3,0
282695,141346,245496,491000,174311,13638,13652.500000,18,8,4,2,2,3,0
250609,125303,207697,415400,198369,17309,18363.000000,12,5,4,1,1,3,0
196802,98400,165097,330200,130322,11792,11800.000000,14,7,4,1,1,3,0
191068,95533,160697,321400,139017,16084,17777.000000,10,4,4,1,1,3,0
132963,66480,138693,277400,105045,6935,6949.000000,20,9,4,2,2,3,0
274671,137334,219996,440000,131389,18333,18554.000000,12,6,4,1,1,3,0
237331,118664,180396,360800,184104,12885,12892.500000,14,6,4,2,2,3,0
393807,196901,293095,586200,246699,24432,24671.000000,12,5,4,1,1,3,0
113675,56837,127696,255400,73050,7981,7984.500000,16,7,4,2,2,3,0
351838,175918,253598,507200,230014,14088,14090.000000,18,9,4,2,2,3,0
159859,79928,150295,300600,129556,7515,7563.500000,20,9,4,2,2,3,0
137131,68564,124197,248400,76193,12432,13613.000000,10,4,4,1,1,3,0
327518,163758,250196,500400,185588,17875,18600.500000,14,6,4,1,1,3,0
270293,135145,194296,388600,203897,16194,16295.500000,12,6,4,1,1,3,0
140851,70424,125998,252000,80330,12600,16522.500000,10,5,4,1,1,3,0
291719,145859,268596,537200,211462,16805,17916.000000,16,7,4,1,1,3,0
109732,54864,108595,217200,53450,7757,8001.000000,14,6,4,1,1,3,0
147961,73979,114294,228600,95525,5715,5733.500000,20,9,4,2,2,3,0
231736,115867,186097,372200,123551,18651,19979.000000,10,4,4,1,1,3,0
129562,64780,129496,259000,95926,10791,10890.500000,12,5,4,1,1,3,0
173024,86511,177496,355000,91272,9861,9872.500000,18,8,4,2,2,3,0
131670,65834,102496,205000,109698,7321,7323.000000,14,7,4,1,1,3,0
158745,79371,152092,304200,106968,6913,6914.500000,22,11,4,2,2,3,0
224162,112080,210497,421000,159307,21052,21522.500000,10,5,4,1,1,3,0
272385,136192,292297,584600,217581,18268,18271.000000,16,8,4,1,1,3,0
