MaxMakespan,MinMakespan,MinWorkload,MaxWorkload,MaxWCET,MinWCET,MedianWCET,NumNodes,MaxParallel,CriticalPath,AvgInDegree,AvgOutDegree,CoreNum,IsAnomaly,Par,Cri,WCRT,Advantage
324244,162120,469992,940000,123403,230,16660.000000,47,7,10,2,2,9,0,5,11,324244,0.000000
354386,177191,469986,940000,96600,750,11821.000000,50,7,10,2,2,9,0,6,10,354386,0.000000
403763,201879,469991,940000,80446,153,14767.000000,42,8,10,2,2,9,0,5,10,403763,0.000000
570662,285329,707238,1414500,130026,236,16747.500000,50,8,9,3,3,9,0,6,10,570662,0.000000
518249,259121,707239,1414500,160919,1725,28196.000000,42,6,9,2,2,9,0,5,10,518249,0.000000
644127,322062,545497,1091000,312485,5577,40146.000000,17,6,5,2,2,6,0,5,5,644127,0.000000
432916,216455,545489,1091000,171247,9,14627.000000,37,6,9,2,2,7,0,5,9,432916,0.000000
320246,160122,469996,940000,161595,9503,48390.000000,17,6,5,2,2,6,0,5,5,320246,0.000000
916771,458384,707245,1414500,379885,19,27777.000000,17,6,5,2,2,6,0,5,5,916771,0.000000
223919,111958,260994,522000,81560,579,36033.000000,17,6,5,1,1,6,0,5,5,223919,0.000000
431042,215519,426497,853000,148983,171,37272.000000,17,6,5,2,2,6,0,5,5,431042,0.000000
440233,220115,407995,816000,195916,567,25902.000000,17,6,5,2,2,6,0,5,5,440233,0.000000
401437,200718,483747,967500,194506,2559,38273.000000,17,6,5,2,2,6,0,5,5,418869,4.350000
416870,208434,469994,940000,77144,2424,18516.000000,37,6,9,2,2,7,0,5,9,416870,0.000000
234544,117270,260993,522000,43391,52,10474.500000,42,8,10,2,2,9,0,5,10,234544,0.000000
509715,254856,707242,1414500,181649,348,24919.000000,37,7,8,2,2,7,0,5,9,540887,6.120000
371049,185523,426489,853000,68021,169,13123.500000,42,6,10,2,2,9,0,5,10,371049,0.000000
299887,149941,407988,816000,68674,185,13872.500000,42,7,10,2,2,9,0,5,10,299887,0.000000
566595,283295,545491,1091000,117892,966,16182.500000,38,7,8,2,2,7,0,6,8,566595,0.000000
510115,255055,545491,1091000,116951,408,20401.000000,37,7,9,2,2,8,0,5,9,510115,0.000000
440540,220268,483742,967500,66408,9,14670.500000,42,6,10,2,2,9,0,5,10,440540,0.000000
441978,220987,469992,940000,122634,803,20330.000000,37,7,9,2,2,8,0,5,9,441978,0.000000
615019,307508,707240,1414500,142875,1297,25730.000000,37,6,9,2,2,8,0,5,9,615019,0.000000
423500,211748,457487,915000,138431,213,9822.000000,42,6,9,2,2,9,0,5,10,423500,0.000000
192215,96105,260991,522000,39736,1316,10551.000000,37,6,9,2,2,8,0,5,9,192215,0.000000
368481,184238,426493,853000,149992,79,15098.000000,37,8,9,2,2,8,0,5,9,385046,4.500000
419125,209560,514990,1030000,84008,791,18994.000000,42,7,10,2,2,9,0,5,10,419125,0.000000
350720,175358,407993,816000,80808,97,13212.000000,37,8,9,2,2,8,0,5,9,350720,0.000000
552442,276220,729492,1459000,122970,264,32480.000000,42,7,9,2,2,9,0,5,10,552442,0.000000
340779,170388,483744,967500,83021,845,20691.000000,37,6,9,2,2,8,0,5,9,340779,0.000000
416840,208418,545488,1091000,109793,41,18921.500000,44,7,8,3,3,7,0,7,8,442965,6.270000
460287,230140,499488,999000,130800,1080,9665.000000,42,6,10,2,2,9,0,5,10,460287,0.000000
563216,281606,635240,1270500,195924,555,19102.500000,42,7,10,2,2,9,0,5,10,563216,0.000000
292823,146409,369740,739500,71495,1014,14497.000000,42,7,9,2,2,9,0,5,10,292823,0.000000
389634,194815,545492,1091000,125947,143,23006.000000,42,7,10,2,2,7,0,5,10,447096,14.750000
399649,199823,545493,1091000,135729,993,44467.000000,23,7,5,2,2,9,0,7,5,399649,0.000000
345341,172668,469989,940000,69862,420,19404.500000,42,6,10,2,2,7,0,5,10,351173,1.690000
345809,172903,469994,940000,122153,1942,24142.000000,23,7,5,2,2,9,0,7,5,345809,0.000000
554133,277065,707244,1414500,296966,559,42931.000000,23,7,5,2,2,9,0,7,5,554133,0.000000
179675,89836,260994,522000,58086,1424,21612.000000,23,7,5,2,2,9,0,7,5,179675,0.000000
305614,152806,426494,853000,106324,284,27584.000000,23,8,5,2,2,9,0,7,5,305614,0.000000
327208,163602,407993,816000,85351,2723,30437.000000,23,8,5,2,2,9,0,7,5,327208,0.000000
667770,333882,707239,1414500,128504,573,20732.000000,42,7,9,2,2,7,0,5,10,667770,0.000000
436857,218427,483744,967500,191380,556,27870.000000,23,7,5,2,2,9,0,7,5,436857,0.000000
250717,125357,457494,915000,105752,2233,36374.000000,23,7,5,2,2,9,0,7,5,250717,0.000000
394591,197294,514996,1030000,162436,395,23586.000000,23,7,5,2,2,9,0,7,5,394591,0.000000
592319,296159,729495,1459000,347280,2272,51046.000000,23,7,5,2,2,9,0,7,5,592319,0.000000
486080,243039,499493,999000,231430,1187,20174.000000,23,7,5,2,2,9,0,7,5,486080,0.000000
247050,123523,290239,580500,60722,114,7847.500000,42,7,10,2,2,9,0,5,10,247050,0.000000
220564,110279,260990,522000,57400,13,9081.500000,42,7,10,2,2,7,0,5,10,220564,0.000000
405949,202972,635244,1270500,205399,3028,30553.000000,23,7,5,2,2,9,0,7,5,405949,0.000000
304495,152246,369746,739500,86039,224,26366.000000,23,7,5,2,2,9,0,7,5,304495,0.000000
229741,114870,290244,580500,101422,276,21204.000000,23,7,5,2,2,9,0,7,5,229741,0.000000
391915,195956,487243,974500,155519,2621,26771.000000,23,7,5,2,2,9,0,7,5,391915,0.000000
650137,325066,723994,1448000,213065,5348,57619.000000,23,7,5,2,2,9,0,7,5,650137,0.000000
479862,239930,715994,1432000,172636,1549,51020.000000,23,8,5,2,2,9,0,7,5,479862,0.000000
406192,203092,487239,974500,76735,406,15767.000000,42,7,10,2,2,9,0,5,10,406192,0.000000
350780,175388,545492,1091000,135782,6492,22464.500000,26,8,5,2,2,9,0,8,5,350780,0.000000
338883,169440,469993,940000,152119,1919,19866.500000,26,8,5,2,2,9,0,8,5,338883,0.000000
508825,254410,707241,1414500,297629,1947,43210.500000,26,9,5,2,2,9,0,8,5,508825,0.000000
180114,90056,260994,522000,67282,823,17121.000000,26,8,5,2,2,9,0,8,5,180114,0.000000
668882,334439,723991,1448000,189406,1378,19625.500000,42,6,10,2,2,9,0,5,10,668882,0.000000
470117,235057,426495,853000,202373,1629,18856.000000,26,8,5,2,2,9,0,8,5,470117,0.000000
363326,181661,545490,1091000,128142,1102,24556.500000,30,7,6,2,2,9,0,7,6,363326,0.000000
625187,312591,715988,1432000,162541,1145,22507.000000,42,7,10,2,2,9,0,5,10,625187,0.000000
335428,167713,469993,940000,119152,1548,23049.000000,30,7,6,2,2,9,0,7,6,335428,0.000000
372453,186225,707242,1414500,120434,1941,34286.000000,30,8,6,2,2,9,0,7,6,372453,0.000000
171187,85592,260991,522000,58219,980,13777.500000,30,8,6,2,2,9,0,7,6,171187,0.000000
305013,152505,426490,853000,109394,1078,23519.500000,30,8,6,2,2,9,0,7,6,305013,0.000000
279687,139843,407994,816000,87964,1236,19024.500000,30,7,6,2,2,9,0,7,6,279687,0.000000
317391,158692,545486,1091000,71641,126,14280.500000,58,8,10,3,3,9,0,7,10,327955,3.330000
424307,212151,545492,1091000,123180,107,16777.500000,32,7,7,2,2,9,0,6,7,424307,0.000000
378457,189227,483742,967500,140564,2641,22022.000000,30,8,6,3,3,9,0,7,6,378457,0.000000
371467,185732,469990,940000,99292,1415,24871.000000,32,7,7,2,2,9,0,6,7,371467,0.000000
314143,157070,457490,915000,120138,710,21374.500000,30,7,6,2,2,9,0,7,6,314143,0.000000
369867,184932,514992,1030000,164944,1063,25075.500000,30,7,6,2,2,9,0,7,6,369867,0.000000
629675,314836,707242,1414500,150429,262,38532.500000,32,7,7,2,2,9,0,6,7,629675,0.000000
127230,63614,260992,522000,48356,1156,12491.500000,32,8,7,2,2,9,0,6,7,153750,20.850000
344748,172372,545487,1091000,66022,964,16679.500000,56,9,11,2,2,9,0,6,11,344748,0.000000
368600,184298,545481,1091000,84974,229,11617.000000,65,9,8,3,3,9,0,7,11,375166,1.790000
403644,201822,545495,1091000,251470,1468,32175.500000,26,7,5,2,2,9,0,6,6,403644,0.000000
342527,171262,545495,1091000,148188,2005,43354.000000,20,8,5,2,2,9,0,6,5,342527,0.000000
432743,216369,545493,1091000,196974,3146,30936.000000,27,6,7,2,2,9,0,5,7,432743,0.000000
424440,212217,545492,1091000,102121,1802,29973.000000,32,7,8,2,2,9,0,5,8,424440,0.000000
375741,187869,545494,1091000,134765,1025,40763.500000,22,7,6,2,2,9,0,5,6,375741,0.000000
400882,200439,545494,1091000,189726,2872,26913.000000,26,8,5,2,2,7,0,8,5,427701,6.690000
777169,388583,729492,1459000,308608,2435,26529.000000,30,8,6,2,2,9,0,7,6,777169,0.000000
261078,130538,307245,614500,97812,6771,29042.000000,17,7,5,1,1,8,0,5,5,261078,0.000000
366992,183494,469991,940000,98251,415,15770.000000,37,6,9,2,2,9,0,5,9,366992,0.000000
367104,183550,469995,940000,156390,1114,22655.000000,22,8,6,2,2,8,0,5,6,367104,0.000000
407310,203653,469995,940000,167517,816,39547.000000,17,7,5,1,1,9,0,5,5,407310,0.000000
398918,199456,545493,1091000,136324,2323,21359.500000,26,8,5,2,2,3,999,8,5,489969,22.830000
329196,164596,499491,999000,122696,1094,25154.000000,30,8,6,3,3,9,0,7,6,329196,0.000000
337483,168740,349496,699000,146880,913,26296.000000,17,6,5,2,2,8,0,5,5,337483,0.000000
169212,84604,260989,522000,40271,139,5810.500000,50,8,10,2,2,9,0,6,10,169212,0.000000
448214,224105,707242,1414500,184946,725,25684.000000,37,8,9,2,2,9,0,5,9,448214,0.000000
564134,282066,707246,1414500,223918,528,49687.000000,22,6,6,2,2,8,0,5,6,564134,0.000000
199429,99713,260994,522000,78794,814,17971.000000,22,7,6,2,2,8,0,5,6,199429,0.000000
380364,190180,426493,853000,183669,277,27166.500000,22,6,6,2,2,8,0,5,6,380364,0.000000
297607,148802,407994,816000,108785,1675,37364.500000,22,6,6,2,2,8,0,5,6,297607,0.000000
424240,212119,483745,967500,98320,511,38499.500000,22,6,6,2,2,8,0,5,6,424240,0.000000
357460,178729,457494,915000,175416,96,31006.500000,22,6,6,2,2,8,0,5,6,357460,0.000000
480438,240216,514991,1030000,159417,5132,33596.000000,22,5,6,2,2,8,0,5,6,480438,0.000000
624259,312127,729493,1459000,212317,3099,52454.000000,22,6,6,2,2,8,0,5,6,624259,0.000000
357662,178830,499496,999000,126503,994,47388.000000,22,7,6,2,2,8,0,5,6,357662,0.000000
528521,264259,635245,1270500,133553,13549,46873.500000,22,5,6,2,2,8,0,5,6,528521,0.000000
312668,156332,369745,739500,122313,2652,25771.000000,22,6,6,2,2,8,0,5,6,312668,0.000000
355027,177512,290243,580500,135902,232,13496.500000,22,6,6,2,2,8,0,5,6,355027,0.000000
346368,173182,426489,853000,57721,65,16497.000000,50,8,10,2,2,9,0,6,10,346368,0.000000
478544,239270,487244,974500,235821,3222,29001.500000,22,6,6,2,2,8,0,5,6,478544,0.000000
449387,224693,723995,1448000,252943,5750,40293.000000,22,7,5,2,2,8,0,5,6,449387,0.000000
738978,369488,715995,1432000,202540,1660,46912.000000,22,6,6,2,2,8,0,5,6,738978,0.000000
491497,245748,714995,1430000,217326,4699,45736.000000,22,5,6,2,2,8,0,5,6,491497,0.000000
659184,329590,635246,1270500,308239,675,43389.000000,22,7,6,2,2,8,0,5,6,659184,0.000000
192167,96082,277995,556000,99871,1448,16671.000000,22,5,5,2,2,8,0,5,6,192167,0.000000
295783,147890,375744,751500,141412,1921,21545.500000,22,6,6,2,2,8,0,5,6,295783,0.000000
263467,131733,333245,666500,97190,1103,20230.000000,22,5,6,2,2,8,0,5,6,263467,0.000000
465558,232777,591745,1183500,135614,3638,51184.500000,22,6,6,2,2,8,0,5,6,465558,0.000000
293770,146882,407985,816000,62369,417,13848.500000,50,7,10,2,2,9,0,6,10,293770,0.000000
274058,137027,252495,505000,86204,657,14750.500000,22,6,6,2,2,8,0,5,6,274058,0.000000
549991,274993,607993,1216000,296207,2039,35813.000000,22,7,6,2,2,8,0,5,6,549991,0.000000
272192,136095,299743,599500,81930,2282,25791.000000,22,6,6,2,2,8,0,5,6,272192,0.000000
205128,102562,276993,554000,57869,1852,24137.500000,22,6,6,2,2,8,0,5,6,205128,0.000000
336165,168080,478243,956500,116727,339,38369.500000,22,7,5,2,2,8,0,5,6,336165,0.000000
518581,259289,707745,1415500,270675,318,37107.000000,22,6,6,2,2,8,0,5,6,518581,0.000000
312943,156471,368245,736500,135580,1166,23352.000000,22,6,5,2,2,8,0,5,6,312943,0.000000
434279,217139,469994,940000,101734,1962,24483.000000,26,7,6,2,2,9,0,6,6,434279,0.000000
348582,174290,469994,940000,210021,3307,21456.500000,20,7,5,2,2,9,0,6,5,348582,0.000000
353176,176584,469986,940000,95377,178,11163.000000,56,7,11,2,2,9,0,6,11,353176,0.000000
362832,181414,469993,940000,136203,544,23934.000000,27,7,7,2,2,9,0,5,7,362832,0.000000
355361,177679,469993,940000,107582,1106,19836.500000,32,6,8,2,2,9,0,5,8,355361,0.000000
691768,345882,707244,1414500,250757,1046,33301.500000,32,7,8,2,2,9,0,5,8,691768,0.000000
214100,107048,260992,522000,63255,623,14128.000000,32,8,8,2,2,9,0,5,8,214100,0.000000
361457,180727,426492,853000,113168,30,15644.500000,32,7,8,2,2,9,0,5,8,361457,0.000000
347352,173674,407993,816000,75594,1308,15089.000000,32,7,8,2,2,9,0,5,8,347352,0.000000
312777,156387,469994,940000,143390,2637,31941.500000,22,6,6,2,2,9,0,5,6,312777,0.000000
623010,311504,707244,1414500,179234,1824,51924.500000,22,6,6,2,2,9,0,5,6,623010,0.000000
318646,159321,483743,967500,99275,855,21337.000000,32,6,8,2,2,9,0,5,8,318646,0.000000
218074,109035,260994,522000,87150,1146,16310.000000,22,6,5,2,2,9,0,5,6,218074,0.000000
505541,252768,426493,853000,165933,4719,24429.000000,22,5,6,2,2,9,0,5,6,505541,0.000000
394455,197227,407994,816000,125974,421,30472.000000,22,6,6,2,2,9,0,5,6,394455,0.000000
352343,176169,457493,915000,118892,201,17180.000000,32,10,8,2,2,9,0,5,8,352343,0.000000
472552,236274,545494,1091000,155027,5750,61939.000000,17,5,5,2,2,3,999,5,5,603413,27.700000
